STATION,STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USC00272303,EAST SANDWICH NH US,20160722,0.00,0.0,-9999,85,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160723,0.01,0.0,-9999,91,66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20160724,0.36,0.0,-9999,87,58,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20160725,0.00,0.0,-9999,84,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160726,0.11,0.0,-9999,87,57,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160727,0.00,0.0,-9999,87,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160728,0.00,0.0,-9999,91,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160729,0.01,0.0,-9999,89,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160730,0.00,0.0,-9999,85,54,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160731,0.00,0.0,-9999,84,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160801,0.05,0.0,-9999,71,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160802,0.21,0.0,-9999,67,56,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160803,0.00,0.0,-9999,83,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160804,0.00,0.0,-9999,86,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160805,0.00,0.0,-9999,86,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160806,0.00,0.0,-9999,88,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160807,0.00,0.0,-9999,90,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160808,0.00,0.0,-9999,83,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
